content,score,label
aplikasi ini bagus untuk lagu rohani Kristen terbaru,5,positif
kikir,3,netral
oke aku senang denger lagu lagunya tp iklannya jgn banyak banyak ya,5,positif
banyak iklaannnn,5,positif
"memilih lagu untuk diputar masih ada limit,jika sudah mencapai limit harus menunggu sampai besok/harus berlangganan",2,negatif
ok,5,positif
ya bagus kalau bisa gratis aja,4,positif
jelek,1,negatif
bisa buka aplikasi lain sambil dgr musik,5,positif
bagus,5,positif
bagus banget,5,positif
LAGU BASMALAH ENAK BANGET 🫪,5,positif
baguss banget minnn,5,positif
"saran saya tolong jangan perbanyak iklan,dan tolong jangan membayar jika ingin mendengarkan lagu lagi....",3,netral
"sebagai pengguna gratisan agak kecewa karena cuman bisa dengerin 3 lagu pilihan sisa nya random, minimal 5 jangan 3 banget",1,negatif
bagus bagus ajasih tapi iklan nya sampai 3 kali putar males banget😤,3,netral
bugusss sekaliiiii,5,positif
bagus lagunya banyak lagunya,5,positif
Bagus sekali...apalagi lagu lagunya itu,5,positif
"lgunya enak,, asik,, 👍👍👍👍👍⭐👍⭐👍⭐",5,positif
keren,5,positif
harus nya kalo setel video nanti urut ke history nya perbaiki ya😁,3,netral
aplikasi nya bagus,5,positif
bagus bujur masa gk ada yg mau download dari dulu sih bah aku tau aplikasi in ty udh aku download m,5,positif
iklannya norak,4,positif
sangat seru,5,positif
anjay asek cokk gokill,5,positif
bagus,5,positif
aplikasi ini sangat bagus tapi ada sedikit saran dari saya coba kurangkan iklan agar tidak banyak org yg menggu hanya untuk mendengarkan lagu,5,positif
bisa jadi keren lagu bagus,4,positif
keren buanhet,5,positif
"kenapa download vidio harus pitur premium, dulu gk gini",1,negatif
mantep mantep lagu nya,5,positif
mantap sekali aplikasi nya 👍👍👍,5,positif
"aplikasi ini sudah cukup baik ,tapi iklannya yang berlebihan.",4,positif
suka banget karena bisa dengerin musik sepuasnya,5,positif
Lagunya lengkap Asuk Bisa tetapi hidup Walaupun kita bisa aplikasi lain,4,positif
Enak,5,positif
bagus banget,5,positif
hebat,5,positif
"kenapa harus ada iklan, mending iklan nya dihapus saja",3,netral
"baguss mines kebanyakan ikln, tpi ttp topp",5,positif
pokok nya top banget bisa dengerin online sama offline,5,positif
cocok bisa buat kerja bisa buat nyanyi nyanyi ih pokoknya seru,5,positif
nice,5,positif
ok app nya,5,positif
bagus,5,positif
Bagus dan banyak lagu yg terkenal,5,positif
"sangat bagus, dan aku tertarik untuk memakai ini setiap mau tidur",5,positif
bagus lagu semua lengkap,5,positif
bisa nyalain lagu apa saja,5,positif
BAGUS BET COK WAJIB DIKASI 5 BINTANG 🌟.,5,positif
🤩🤩,5,positif
bagus bet buat main game,5,positif
bagus aja sih,5,positif
app musik yang bagus saya suka musiknya beragam,5,positif
